,General_Index,Concrete,Steel,Fuel_Energy,PVC_Pipes
General_Index,1.0,0.6759641323417634,0.8706595239957121,0.3303589145024803,0.7205149154901125
Concrete,0.6759641323417634,1.0,0.4674600901065132,0.08724104868081164,0.3870413503855097
Steel,0.8706595239957121,0.4674600901065132,1.0,0.267573606659984,0.5478978143128612
Fuel_Energy,0.3303589145024803,0.08724104868081164,0.267573606659984,1.0,0.2755484725370923
PVC_Pipes,0.7205149154901125,0.3870413503855097,0.5478978143128612,0.2755484725370923,1.0
