label,n_obs,n_valid,duration_months,tau_mean,tau_median,tau_ci_low_95,tau_ci_high_95,theta_mean,theta_median,theta_ci_low_95,theta_ci_high_95,gap_mean_eur,gap_median_eur,gap_ci_low_95,gap_ci_high_95,gap_pct_mean,gap_pct_ci_low,gap_pct_ci_high
Crisis (2021-2024),48,1000,36,0.085,0.069,0.05,0.199,1.096,1.074,1.053,1.248,6438,5320,515,17435,0.28,0.02,0.76
Full Period (2000-2024),299,1000,36,0.235,0.235,0.192,0.278,1.308,1.306,1.238,1.386,19965,19705,14498,25971,0.87,0.63,1.13
