crisis_gap_eur,crisis_tau,crisis_theta,full_gap_eur,full_tau,full_theta
3206.3292727996595,0.06557377049180327,1.0701754385964912,20666.44023053348,0.2298249852380435,1.2984061814950945
11601.79156222567,0.15968427443837277,1.190028901734104,22815.095219110604,0.2512812980164278,1.3356150946286116
3606.198116315063,0.05,1.0526315789473684,18199.060782807413,0.2155959731678607,1.2748532207803132
4286.013451745268,0.05,1.0526315789473684,23680.347343201283,0.25198975853002314,1.3368800914206966
12390.27098505292,0.14337568058076225,1.167372881355932,27717.93402390601,0.28070231439960097,1.3902449848219633
11940.974371346645,0.1069921639541893,1.1198110023624706,20195.2564591649,0.2355477937253263,1.3081262527492687
5255.366461086087,0.05,1.0526315789473684,17707.246279411018,0.22412735489123048,1.2888713196736175
1906.718418434728,0.05,1.0526315789473684,13334.741712236311,0.1933146355565681,1.2396406877791126
1165.4922429458238,0.09003312255344777,1.098941098610192,20644.79776276229,0.24109687562064433,1.317691241313333
8957.144101490732,0.07784791103095882,1.084419817470665,18783.7096584104,0.21204356858665172,1.2691057019565304
11126.658821188845,0.13248252810695835,1.1527145359019264,15434.167696871795,0.20257455477293296,1.2540357295913098
3873.0332143702544,0.05,1.0526315789473684,15803.70905475365,0.231244392321714,1.3008035193656586
3253.731524075847,0.05,1.0526315789473684,14608.087496955879,0.19433812671624726,1.241215493944321
2722.3130787904374,0.05,1.0526315789473684,22324.595780272502,0.24168184976355547,1.3187077214071676
4769.186671050731,0.058272946859903384,1.0618788073100351,15949.827086572535,0.22736381326522884,1.2942702104415902
2648.325836303644,0.05,1.0526315789473684,21521.413032817654,0.24589169733657157,1.3260694736659295
6433.273490598891,0.05,1.0526315789473684,18097.33413656475,0.23888916920673944,1.3138690970377591
7963.8965532928705,0.08551641071966276,1.093513335528482,27088.566404718906,0.28872010699723427,1.405916306418227
9721.729676787741,0.08604091456077016,1.0941408821593153,22442.7573515689,0.24830396299990784,1.3303249595286577
9157.745443633758,0.12090909090909085,1.1375387797311272,19382.01521830354,0.2240950633468517,1.288817679538787
3355.6440436854027,0.05,1.0526315789473684,17735.57309455052,0.22797829108209913,1.2953003632522762
4051.0338795809075,0.05,1.0526315789473684,18440.6952713402,0.20872685163487248,1.2637860921555713
4554.3776908447035,0.05,1.0526315789473684,23441.264201271348,0.25990872347955163,1.3511846872476554
1818.7405013698153,0.05,1.0526315789473684,21299.966886277776,0.24355164802519547,1.321967319235177
7740.276995845605,0.1477135980746089,1.1733145075891283,21757.682103969157,0.22757139224341372,1.2946180267770815
2210.772807118017,0.05,1.0526315789473684,16030.033179353457,0.20712172730357137,1.2612276492319427
18625.04448346095,0.2136363636363636,1.2716763005780347,16812.829893516842,0.23676981355664586,1.3102207142251423
2797.8105429699644,0.05776173285198555,1.061302681992337,24296.80225708196,0.27490060159050855,1.3791212655720086
9050.092340461444,0.12867090523766275,1.1476719944405838,22519.910017314367,0.2448962626481451,1.3243213488877636
11667.746600591112,0.14594594594594593,1.1708860759493671,21452.757392982487,0.2591161626402905,1.3497392567824178
