regime,gumbel_best,gumbel_within2,n_pairs,mean_lambdaU_pooled,best_family_counts
crisis,25,27,28,0.3602,"{'Gumbel': 25, 'Gaussian': 2, 'Frank': 1}"
stable,16,25,28,0.1316,"{'Gumbel': 16, 'Frank': 11, 'Clayton': 1}"
